Date,Profit/Loss,equity,returnPerc
5/30/2013 0:00,-14000,386000,0.005625
6/7/2013 0:00,-24200,361800,-0.062694301
6/24/2013 0:00,-11200,350600,-0.030956329
6/28/2013 0:00,-13800,336800,-0.039361095
7/31/2013 0:00,86000,422800,0.255344418
8/1/2013 0:00,-28600,394200,-0.067644276
8/8/2013 0:00,-44900,349300,-0.113901573
8/13/2013 0:00,-34300,315000,-0.098196393
8/22/2013 0:00,-16600,298400,-0.052698413
8/26/2013 0:00,-8900,289500,-0.029825737
9/17/2013 0:00,-5000,284500,-0.017271157
12/4/2013 0:00,84700,369200,0.29771529
1/3/2014 0:00,-35300,333900,-0.095612134
1/23/2014 0:00,-32200,301700,-0.096436059
3/11/2014 0:00,30400,332100,0.100762347
3/27/2014 0:00,-20700,311400,-0.062330623
4/28/2014 0:00,4900,316300,0.015735389
5/14/2014 0:00,-15300,301000,-0.048371799
7/3/2014 0:00,25500,326500,0.084717608
7/23/2014 0:00,-2400,324100,-0.007350689
7/29/2014 0:00,-21500,302600,-0.06633755
9/4/2014 0:00,44900,347500,0.148380701
9/5/2014 0:00,-11600,335900,-0.033381295
9/18/2014 0:00,900,336800,0.002679369
9/19/2014 0:00,-3300,333500,-0.0097981
9/25/2014 0:00,-8800,324700,-0.026386807
10/2/2014 0:00,-15200,309500,-0.046812442
2/3/2015 0:00,380400,689900,1.22907916
2/24/2015 0:00,-44500,645400,-0.064502102
3/5/2015 0:00,-14800,630600,-0.022931515
3/6/2015 0:00,-11500,619100,-0.0182366
3/27/2015 0:00,27300,646400,0.044096269
5/20/2015 0:00,77500,723900,0.119894802
6/3/2015 0:00,-6600,717300,-0.009117281
6/5/2015 0:00,-5100,712200,-0.007109996
6/10/2015 0:00,-23000,689200,-0.032294299
6/26/2015 0:00,-22100,667100,-0.032066164
9/1/2015 0:00,150800,817900,0.226053066
9/28/2015 0:00,-12800,805100,-0.015649835
10/5/2015 0:00,-18300,786800,-0.022730096
10/20/2015 0:00,-5200,781600,-0.006609049
11/4/2015 0:00,-300,781300,-0.000383828
11/6/2015 0:00,-20300,761000,-0.025982337
2/1/2016 0:00,159200,920200,0.209198423
2/2/2016 0:00,-17400,902800,-0.018908933
2/26/2016 0:00,-7400,895400,-0.008196721
3/31/2016 0:00,41000,936400,0.045789591
4/12/2016 0:00,-38300,898100,-0.040901324
6/15/2016 0:00,38100,936200,0.042422893
8/12/2016 0:00,47500,983700,0.050737022
9/1/2016 0:00,-20600,963100,-0.020941344
9/29/2016 0:00,-40600,922500,-0.042155539
10/27/2016 0:00,14600,937100,0.015826558
11/22/2016 0:00,22200,959300,0.023690108
1/10/2017 0:00,17200,976500,0.01792974
2/2/2017 0:00,-19400,957100,-0.019866871
2/8/2017 0:00,-12000,945100,-0.012537875
2/13/2017 0:00,-5900,939200,-0.006242726
3/3/2017 0:00,100,939300,0.000106474
4/3/2017 0:00,35800,975100,0.038113489
4/21/2017 0:00,-10800,964300,-0.011075787
5/18/2017 0:00,3000,967300,0.003111065
6/1/2017 0:00,-13000,954300,-0.013439471
7/3/2017 0:00,15100,969400,0.015823116
8/15/2017 0:00,2700,972100,0.002785228
9/6/2017 0:00,-14600,957500,-0.015019031
10/6/2017 0:00,-4200,953300,-0.004386423
10/13/2017 0:00,-21600,931700,-0.022658135
12/7/2017 0:00,48200,979900,0.051733391
12/11/2017 0:00,-13000,966900,-0.01326666
12/14/2017 0:00,-9500,957400,-0.009825215
12/19/2017 0:00,-4800,952600,-0.005013578
2/7/2018 0:00,42800,995400,0.044929666
2/26/2018 0:00,-22900,972500,-0.023005827
3/2/2018 0:00,-26600,945900,-0.027352185
3/6/2018 0:00,-13500,932400,-0.014272122
3/8/2018 0:00,-24800,907600,-0.026598027
3/20/2018 0:00,-33600,874000,-0.037020714
4/6/2018 0:00,-14800,859200,-0.016933638
4/11/2018 0:00,-47600,811600,-0.055400372
5/29/2018 0:00,-1600,810000,-0.001971414
6/25/2018 0:00,-15600,794400,-0.019259259
7/16/2018 0:00,-200,794200,-0.000251762
7/31/2018 0:00,-16200,778000,-0.020397885
8/1/2018 0:00,-11000,767000,-0.014138817
8/24/2018 0:00,-16400,750600,-0.021382008
10/12/2018 0:00,28500,779100,0.037969624
1/8/2019 0:00,219700,998800,0.281992042
2/11/2019 0:00,23900,1022700,0.023928714
2/13/2019 0:00,-14900,1007800,-0.014569277
5/1/2019 0:00,89000,1096800,0.088311173
5/20/2019 0:00,5800,1102600,0.005288111
5/23/2019 0:00,-53000,1049600,-0.048068202
6/21/2019 0:00,7200,1056800,0.006859756
7/18/2019 0:00,-21500,1035300,-0.020344436
8/20/2019 0:00,-7600,1027700,-0.007340867
8/26/2019 0:00,-24900,1002800,-0.024228861
8/29/2019 0:00,-30700,972100,-0.03061428
9/4/2019 0:00,-4500,967600,-0.004629153
9/5/2019 0:00,-400,967200,-0.000413394
9/26/2019 0:00,3500,970700,0.003618693
10/23/2019 0:00,5400,976100,0.005562996
12/2/2019 0:00,-1200,974900,-0.001229382
12/5/2019 0:00,-24700,950200,-0.025335932
1/10/2020 0:00,6800,957000,0.007156388
2/20/2020 0:00,54400,1011400,0.056844305
2/25/2020 0:00,-39800,971600,-0.039351394
5/6/2020 0:00,319500,1291100,0.328839028
7/31/2020 0:00,155500,1446600,0.120439935
8/5/2020 0:00,-19200,1427400,-0.013272501
9/3/2020 0:00,-11000,1416400,-0.007706319
9/28/2020 0:00,10200,1426600,0.007201356
9/30/2020 0:00,-3800,1422800,-0.002663676
10/8/2020 0:00,-9700,1413100,-0.006817543
10/26/2020 0:00,-29100,1384000,-0.020593022
11/10/2020 0:00,-28000,1356000,-0.020231214
3/19/2021 0:00,195500,1551500,0.144174041
4/15/2021 0:00,-20200,1531300,-0.013019658
5/20/2021 0:00,-15800,1515500,-0.01031803
5/25/2021 0:00,-41300,1474200,-0.027251732
7/16/2021 0:00,60200,1534400,0.040835708
7/29/2021 0:00,-20600,1513800,-0.013425443
8/4/2021 0:00,-54700,1459100,-0.036134232
8/30/2021 0:00,-13100,1446000,-0.008978137
11/5/2021 0:00,128500,1574500,0.088865837
11/10/2021 0:00,-700,1573800,-0.000444586
11/12/2021 0:00,-5500,1568300,-0.003494726
12/23/2021 0:00,57700,1626000,0.03679143
3/16/2022 0:00,236000,1862000,0.145141451
3/22/2022 0:00,-155600,1706400,-0.083566058
4/1/2022 0:00,-100000,1606400,-0.058602907
4/18/2022 0:00,-89100,1517300,-0.055465637
4/26/2022 0:00,-59100,1458200,-0.038950768
4/29/2022 0:00,-29900,1428300,-0.020504732
6/21/2022 0:00,98200,1526500,0.068753063
8/24/2022 0:00,111900,1638400,0.073304946
9/1/2022 0:00,-82800,1555600,-0.050537109
10/5/2022 0:00,-16000,1539600,-0.01028542
10/19/2022 0:00,-23100,1516500,-0.015003897
10/27/2022 0:00,-45600,1470900,-0.030069238
11/15/2022 0:00,-21600,1449300,-0.014684887
12/22/2022 0:00,88800,1538100,0.061270958
1/5/2023 0:00,-38200,1499900,-0.024835836
1/13/2023 0:00,-61900,1438000,-0.041269418
2/1/2023 0:00,-37200,1400800,-0.025869263
2/13/2023 0:00,-37300,1363500,-0.026627641
2/20/2023 0:00,-29700,1333800,-0.021782178
3/3/2023 0:00,-22700,1311100,-0.017019043
3/10/2023 0:00,-30000,1281100,-0.02288155
